Company(Maker-if known), Specific Bean Origin or Bar Name,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
A. Morin,Agua Grande,1876.0,2016.0,63%,France,3.75,,Sao Tome
A. Morin,Kpime,1676.0,2015.0,70%,France,2.75,,Togo
A. Morin,Atsane,1676.0,2015.0,70%,France,3.0,,Togo
A. Morin,Akata,1680.0,2015.0,70%,France,3.5,,Togo
A. Morin,Quilla,1704.0,2015.0,70%,France,3.5,,Peru
A. Morin,Carenero,1315.0,2014.0,70%,France,2.75,Criollo,Venezuela
A. Morin,Cuba,1315.0,2014.0,70%,France,3.5,,Cuba
A. Morin,Sur del Lago,1315.0,2014.0,70%,France,3.5,Criollo,Venezuela
A. Morin,Puerto Cabello,1319.0,2014.0,70%,France,3.75,Criollo,Venezuela
A. Morin,Pablino,1319.0,2014.0,70%,France,4.0,,Peru
A. Morin,Panama,1011.0,2013.0,70%,France,2.75,,Panama
A. Morin,Madagascar,1011.0,2013.0,70%,France,3.0,Criollo,Madagascar
A. Morin,Brazil,1011.0,2013.0,70%,France,3.25,,Brazil
A. Morin,Equateur,1011.0,2013.0,70%,France,3.75,,Ecuador
A. Morin,Colombie,1015.0,2013.0,70%,France,2.75,,Colombia
A. Morin,Birmanie,1015.0,2013.0,70%,France,3.0,,Burma
A. Morin,Papua New Guinea,1015.0,2013.0,70%,France,3.25,,Papua New Guinea
A. Morin,Chuao,1015.0,2013.0,70%,France,4.0,Trinitario,Venezuela
A. Morin,Piura,1019.0,2013.0,70%,France,3.25,,Peru
A. Morin,Chanchamayo Province,1019.0,2013.0,70%,France,3.5,,Peru
A. Morin,Chanchamayo Province,1019.0,2013.0,63%,France,4.0,,Peru
A. Morin,Bolivia,797.0,2012.0,70%,France,3.5,,Bolivia
A. Morin,Peru,797.0,2012.0,63%,France,3.75,,Peru
Acalli,"Chulucanas, El Platanal",1462.0,2015.0,70%,U.S.A.,3.75,,Peru
Acalli,"Tumbes, Norandino",1470.0,2015.0,70%,U.S.A.,3.75,Criollo,Peru
Adi,Vanua Levu,705.0,2011.0,60%,Fiji,2.75,Trinitario,Fiji
Adi,"Vanua Levu, Toto-A",705.0,2011.0,80%,Fiji,3.25,Trinitario,Fiji
Adi,Vanua Levu,705.0,2011.0,88%,Fiji,3.5,Trinitario,Fiji
Adi,"Vanua Levu, Ami-Ami-CA",705.0,2011.0,72%,Fiji,3.5,Trinitario,Fiji
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370.0,2009.0,55%,Ecuador,2.75,Forastero (Arriba),Ecuador
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370.0,2009.0,70%,Ecuador,3.0,Forastero (Arriba),Ecuador
Ah Cacao,Tabasco,316.0,2009.0,70%,Mexico,3.0,Criollo,Mexico
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636.0,2011.0,75%,Switzerland,3.75,Trinitario,Indonesia
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502.0,2010.0,75%,Switzerland,2.75,Criollo,Madagascar
Akesson's (Pralus),"Monte Alegre, D. Badero",508.0,2010.0,75%,Switzerland,2.75,Forastero,Brazil
Alain Ducasse,Trinite,1215.0,2014.0,65%,France,2.75,Trinitario,Trinidad
Alain Ducasse,Vietnam,1215.0,2014.0,75%,France,2.75,Trinitario,Vietnam
Alain Ducasse,Madagascar,1215.0,2014.0,75%,France,3.0,Trinitario,Madagascar
Alain Ducasse,Chuao,1061.0,2013.0,75%,France,2.5,Trinitario,Venezuela
Alain Ducasse,"Piura, Perou",1173.0,2013.0,75%,France,2.5,,Peru
Alexandre,"Winak Coop, Napo",1944.0,2017.0,70%,Netherlands,3.5,Forastero (Nacional),Ecuador
Alexandre,"La Dalia, Matagalpa",1944.0,2017.0,70%,Netherlands,3.5,"Criollo, Trinitario",Nicaragua
Alexandre,Tien Giang,1944.0,2017.0,70%,Netherlands,3.5,Trinitario,Vietnam
Alexandre,"Makwale Village, Kyela",1944.0,2017.0,70%,Netherlands,3.5,Forastero,Tanzania
Altus aka Cao Artisan,Momotombo,1728.0,2016.0,60%,U.S.A.,2.75,,Nicaragua
Altus aka Cao Artisan,Acopagro,1728.0,2016.0,60%,U.S.A.,3.0,,Peru
